OBJECTID,rainfall_mean,rainfall_median,rainfall_max,rainfall_min,FORMAL_EN,NAME_EN,Country Code,Maize_rainfall_mean,Rice_rainfall_mean,Sorghum_rainfall_mean,Wheat_rainfall_mean
60,701.8272727,645.7,1024.3,560.8,Former Yugoslav Republic of Macedonia,Republic of Macedonia,154,645.7,645.7,645.7,645.7
61,1157.666667,1146.9,1683.5,981.5,Republic of Albania,Albania,3,1146.9,1146.9,1146.9,1146.9
62,502.5,501.1,676.2,341,Republic of Azerbaijan,Azerbaijan,52,501.1,501.1,501.1,501.1
64,673.8224615,665.8,1931.4,341.6,Republic of Turkey,Turkey,223,665.8,665.8,665.8,665.8
65,768.3414747,696.1,1564,287,Kingdom of Spain,Spain,203,696.1,696.1,696.1,696.1
66,2131.252,2121.9,3365.9,1210.7,Lao People's Democratic Republic,Laos,120,2121.9,2121.9,2121.9,2121.9
67,386.8302326,395.3,633.6,228.2,Kyrgyz Republic,Kyrgyzstan,113,395.3,395.3,395.3,395.3
68,566.2846154,595.2,623.7,390.9,Republic of Armenia,Armenia,1,595.2,595.2,595.2,595.2
69,576.6793103,592,716.5,469.8,Kingdom of Denmark,Denmark,54,592,592,592,592
70,54.22010135,21.8,442.2,0.8,Libya,Libya,124,21.8,21.8,21.8,21.8
71,267.3220339,200.6,962.7,43.4,Republic of Tunisia,Tunisia,222,200.6,200.6,200.6,200.6
72,704.7563636,702.75,927.1,461.3,Romania,Romania,183,702.75,702.75,702.75,702.75
73,585.2133333,572,802.8,484.5,Republic of Hungary,Hungary,97,572,572,572,572
74,648.912,602.1,921.1,498.8,Slovak Republic,Slovakia,199,602.1,602.1,602.1,602.1
75,510.62,501,921.1,379.6,Republic of Poland,Poland,173,501,501,501,501
76,1202.310256,1126.4,1944.8,857,Ireland,Ireland,104,1126.4,1126.4,1126.4,1126.4
77,958.7316176,847.5,2053.4,553.1,United Kingdom of Great Britain and Northern Ireland,United Kingdom,229,847.5,847.5,847.5,847.5
78,729.7942308,730.85,1167.2,379.2,Hellenic Republic,Greece,84,730.85,730.85,730.85,730.85
79,1006.598795,1034.7,1422.8,489.3,Republic of Zambia,Zambia,251,1034.7,1034.7,1034.7,1034.7
80,2375.016,2449.3,2872.4,1934.5,Republic of Sierra Leone,Sierra Leone,197,2449.3,2449.3,2449.3,2449.3
81,1704.792308,1572,2841.6,1118,Republic of Guinea,Guinea,90,1572,1572,1572,1572
82,2415.329032,2503.9,3222.9,1601.2,Republic of Liberia,Liberia,123,2503.9,2503.9,2503.9,2503.9
83,1415.62,1396,2072.6,980.7,Central African Republic,Central African Republic,37,1396,1396,1396,1396
84,343.9015924,288.9,1322.1,0.1,Republic of the Sudan,Sudan,276,288.9,288.9,288.9,288.9
85,168.7,184,184,131.1,Republic of Djibouti,Djibouti,72,184,184,184,184
86,353.1102564,307.8,819.3,65.1,State of Eritrea,Eritrea,178,307.8,307.8,307.8,307.8
87,988.3564103,1022.3,1471.2,570.6,Republic of Austria,Austria,11,1022.3,1022.3,1022.3,1022.3
88,389.2911765,273.1,1114.4,131.4,Republic of Iraq,Iraq,103,273.1,273.1,273.1,273.1
89,852.5984733,826.2,1471.2,325,Italian Republic,Italy,106,826.2,826.2,826.2,826.2
90,1128.070588,1081.2,1460.1,868.9,Swiss Confederation,Switzerland,211,1081.2,1081.2,1081.2,1081.2
91,245.1702093,165.3,1101.5,3.6,Islamic Republic of Iran,Iran,102,165.3,165.3,165.3,165.3
93,1339.165455,1315.3,2032,839.8,Republic of Ivory Coast,Ivory Coast,,1315.3,1315.3,1315.3,1315.3
94,789.4096774,761,1169.6,629.9,Republic of Serbia,Serbia,272,761,761,761,761
95,465.0908665,312.1,1628.7,48.5,Republic of Mali,Mali,133,312.1,312.1,312.1,312.1
96,674.5940299,657.3,1293.5,239.9,Republic of Senegal,Senegal,195,657.3,657.3,657.3,657.3
97,1245.684667,1120.8,3128.3,343.9,Federal Republic of Nigeria,Nigeria,159,1120.8,1120.8,1120.8,1120.8
98,1114.974359,1120.1,1287.8,798,Republic of Benin,Benin,53,1120.1,1120.1,1120.1,1120.1
99,1116.441106,1063.85,2184.4,1,People's Republic of Angola,Angola,7,1063.85,1063.85,1063.85,1063.85
100,1006.073077,937.9,1434.2,684.7,Republic of Croatia,Croatia,98,937.9,937.9,937.9,937.9
101,1202.466667,1202.5,1471.2,802.8,Republic of Slovenia,Slovenia,198,1202.5,1202.5,1202.5,1202.5
102,149.7666667,165.2,165.2,118.9,State of Qatar,Qatar,179,165.2,165.2,165.2,165.2
103,126.1174231,114.1,297.4,2.7,Kingdom of Saudi Arabia,Saudi Arabia,194,114.1,114.1,114.1,114.1
104,381.1053659,293.7,818.4,176.9,Republic of Botswana,Botswana,20,293.7,293.7,293.7,293.7
105,602.1014815,583.1,971.1,272.8,Republic of Zimbabwe,Zimbabwe,181,583.1,583.1,583.1,583.1
106,726.3285714,729.3,833.2,531.9,Republic of Bulgaria,Bulgaria,27,729.3,729.3,729.3,729.3
107,1644.494186,1495.3,3865.4,949.7,Kingdom of Thailand,Thailand,216,1495.3,1495.3,1495.3,1495.3
109,1086.830769,1094.6,1326.9,708,Republic of Haiti,Haiti,93,1094.6,1094.6,1094.6,1094.6
110,1319.49375,1282,1888.5,726.8,Dominican Republic,Dominican Republic,56,1282,1282,1282,1282
