OBJECTID,temperature_mean,temperature_median,temperature_max,temperature_min,FORMAL_EN,NAME_EN,Country Code,temperature_mean_Maize,temperature_mean_Rice,temperature_mean_Sorghum,temperature_mean_Wheat
61,13.35416667,11.925,17.65,10.01,Republic of Albania,Albania,3,11.925,11.925,11.925,11.925
62,14.86555556,15.295,19.9,6.51,Republic of Azerbaijan,Azerbaijan,52,15.295,15.295,15.295,15.295
64,13.20418462,13.15,22.61,3.65,Republic of Turkey,Turkey,223,13.15,13.15,13.15,13.15
65,14.28824885,14.14,24.53,7.75,Kingdom of Spain,Spain,203,14.14,14.14,14.14,14.14
66,23.96106667,23.71,27.76,20.57,Lao People's Democratic Republic,Laos,120,23.71,23.71,23.71,23.71
67,0.626395349,0.525,11.92,-11.9,Kyrgyz Republic,Kyrgyzstan,113,0.525,0.525,0.525,0.525
68,10.17538462,9.91,14.74,6.13,Republic of Armenia,Armenia,1,9.91,9.91,9.91,9.91
69,9.799655172,9.77,10.58,9.06,Kingdom of Denmark,Denmark,54,9.77,9.77,9.77,9.77
70,24.00087838,24.38,26.99,18.95,Libya,Libya,124,24.38,24.38,24.38,24.38
71,20.80440678,21.12,24.97,13.9,Republic of Tunisia,Tunisia,222,21.12,21.12,21.12,21.12
72,11.08209091,11.7,14.78,4.47,Romania,Romania,183,11.7,11.7,11.7,11.7
73,12.41511111,12.45,13.19,11.14,Republic of Hungary,Hungary,97,12.45,12.45,12.45,12.45
74,10.4632,11.75,13.23,5.36,Slovak Republic,Slovakia,199,11.75,11.75,11.75,11.75
75,10.25636364,10.07,13.55,8.1,Republic of Poland,Poland,173,10.07,10.07,10.07,10.07
76,9.858461538,9.88,11.03,8.85,Ireland,Ireland,104,9.88,9.88,9.88,9.88
77,9.297941176,9.48,11.83,5.7,United Kingdom of Great Britain and Northern Ireland,United Kingdom,229,9.48,9.48,9.48,9.48
78,15.48769231,16.075,20.07,9.02,Hellenic Republic,Greece,84,16.075,16.075,16.075,16.075
79,22.89449799,23.03,25.68,18.3,Republic of Zambia,Zambia,251,23.03,23.03,23.03,23.03
80,27.9584,28.23,29.48,25.62,Republic of Sierra Leone,Sierra Leone,197,28.23,28.23,28.23,28.23
81,26.22205128,26.33,28.22,22.78,Republic of Guinea,Guinea,90,26.33,26.33,26.33,26.33
82,26.84290323,26.8,28.65,25.59,Republic of Liberia,Liberia,123,26.8,26.8,26.8,26.8
83,25.21458537,25.23,28.29,21.42,Central African Republic,Central African Republic,37,25.23,25.23,25.23,25.23
84,28.97484076,28.865,33.37,20.55,Republic of the Sudan,Sudan,276,28.865,28.865,28.865,28.865
85,34.59,34.52,36.34,33.66,Republic of Djibouti,Djibouti,72,34.52,34.52,34.52,34.52
86,28.91512821,29.25,36.18,20.16,State of Eritrea,Eritrea,178,29.25,29.25,29.25,29.25
87,7.474871795,7.18,12.37,1.4,Republic of Austria,Austria,11,7.18,7.18,7.18,7.18
88,23.53335294,23.98,28.37,8.65,Republic of Iraq,Iraq,103,23.98,23.98,23.98,23.98
89,13.85923664,15.1,21.13,-1.5,Italian Republic,Italy,106,15.1,15.1,15.1,15.1
90,6.181176471,7.18,12.78,-1.19,Swiss Confederation,Switzerland,211,7.18,7.18,7.18,7.18
91,17.29795491,17.28,29.17,6.3,Islamic Republic of Iran,Iran,102,17.28,17.28,17.28,17.28
93,27.06781818,27.125,28.53,24.8,Republic of Ivory Coast,Ivory Coast,,27.125,27.125,27.125,27.125
94,12.11645161,12.19,15.07,8.01,Republic of Serbia,Serbia,272,12.19,12.19,12.19,12.19
95,29.37660422,29.55,32.56,26.57,Republic of Mali,Mali,133,29.55,29.55,29.55,29.55
96,28.68268657,28.72,31.43,25.82,Republic of Senegal,Senegal,195,28.72,28.72,28.72,28.72
97,27.4257,27.645,30.2,19.38,Federal Republic of Nigeria,Nigeria,159,27.645,27.645,27.645,27.645
98,27.93102564,27.95,29.57,26.46,Republic of Benin,Benin,53,27.95,27.95,27.95,27.95
99,23.57709135,23.705,27.65,18.71,People's Republic of Angola,Angola,7,23.705,23.705,23.705,23.705
100,12.66115385,12.365,15.97,10.15,Republic of Croatia,Croatia,98,12.365,12.365,12.365,12.365
101,10.67444444,11.38,11.97,5.83,Republic of Slovenia,Slovenia,198,11.38,11.38,11.38,11.38
102,28.83,28.89,28.97,28.63,State of Qatar,Qatar,179,28.89,28.89,28.89,28.89
103,26.66559297,26.85,33.86,17.23,Kingdom of Saudi Arabia,Saudi Arabia,194,26.85,26.85,26.85,26.85
104,23.13502439,23.35,25.45,20.6,Republic of Botswana,Botswana,20,23.35,23.35,23.35,23.35
105,21.67496296,21.54,25.85,17.38,Republic of Zimbabwe,Zimbabwe,181,21.54,21.54,21.54,21.54
106,12.13163265,12.85,16.67,5.25,Republic of Bulgaria,Bulgaria,27,12.85,12.85,12.85,12.85
107,26.9605814,27.3,29.25,22.6,Kingdom of Thailand,Thailand,216,27.3,27.3,27.3,27.3
109,25.96769231,26.12,27.46,24.3,Republic of Haiti,Haiti,93,26.12,26.12,26.12,26.12
110,25.501875,26.025,27.37,21.75,Dominican Republic,Dominican Republic,56,26.025,26.025,26.025,26.025
111,27.89830233,28.44,30.62,17.38,Republic of Chad,Chad,39,28.44,28.44,28.44,28.44
112,27.835,27.855,28.65,26.73,State of Kuwait,Kuwait,118,27.855,27.855,27.855,27.855
113,25.50375,25.34,28.3,22.52,Republic of El Salvador,El Salvador,60,25.34,25.34,25.34,25.34
114,23.19205128,24.19,31.56,15.87,Republic of Guatemala,Guatemala,89,24.19,24.19,24.19,24.19
115,26.30333333,26.205,27.33,25.63,Democratic Republic of Timor-Leste,East Timor,176,26.205,26.205,26.205,26.205
116,25.27,25.27,26.11,24.43,Negara Brunei Darussalam,Brunei,,25.27,25.27,25.27,25.27
118,23.83146199,25.15,29.87,10.59,People's Democratic Republic of Algeria,Algeria,4,25.15,25.15,25.15,25.15
119,25.5987218,25.91,29.75,19.66,Republic of Mozambique,Mozambique,144,25.91,25.91,25.91,25.91
120,21.358,22.05,23.41,18.75,Kingdom of eSwatini,eSwatini,209,22.05,22.05,22.05,22.05
121,20.374,20.645,22.84,17.71,Republic of Burundi,Burundi,29,20.645,20.645,20.645,20.645
