,Cellulose_2030,Hemicellulose_2030,Lignin_2030,Cellulose_2040,Hemicellulose_2040,Lignin_2040,Country Code
0,311325.7261559276,249060.58092474204,1515118.5339588474,311299.04064878327,249039.23251902664,1514988.6644907454,2.0
1,177671.63598222611,142137.3087857809,864668.6284468338,177644.95047508183,142115.96038006546,864538.7589787316,3.0
2,340242.7338663226,272194.18709305814,1655847.9714827703,340216.0483591783,272172.83868734265,1655718.1020146678,4.0
3,459175.0375814361,367340.0300651489,2234651.849562989,459148.3520742918,367318.6816594334,2234521.980094887,5.0
4,250966.77886540728,200773.42309232583,1221371.6571449821,250940.09335826297,200752.07468661037,1221241.78767688,6.0
5,61994.07881411558,49595.26305129246,301704.51689536247,62020.764321259856,49616.611457007886,301834.38636346464,7.0
6,91361.48295786438,73089.1863662915,444625.88372827333,91334.7974507201,73067.83796057609,444496.01426017116,258.0
7,91316.71763950198,73053.37411160157,444408.02584557625,91290.0321323577,73032.02570588616,444278.15637747414,8.0
8,473695.2283013901,378956.1826411121,2305316.7777334317,473668.54279424576,378934.8342353966,2305186.9082653294,9.0
9,127730.10960539604,102184.08768431684,621619.8667462608,127756.79511254028,102205.43609003222,621749.7362143627,1.0
10,48629.929310013846,38903.94344801108,236665.65597540073,48656.61481715812,38925.2918537265,236795.52544350288,22.0
11,524831.2265842468,419864.98126739747,2554178.6360433344,524804.5410771025,419843.63286168204,2554048.766575232,10.0
12,3209.9409477042286,2567.952758163383,15621.71261216058,3236.6264548484864,2589.3011638787893,15751.582080262635,11.0
13,63699.62949877078,50959.703599016626,310004.8635606845,63672.94399162648,50938.35519330119,309874.99409258226,52.0
14,65581.83502055123,52465.46801644098,319164.93043334933,65555.14951340697,52444.119610725575,319035.0609652472,12.0
15,113581.49436173265,90865.19548938613,552763.2725604322,113608.17986887693,90886.54389510154,552893.1420285344,13.0
16,101478.29005642353,81182.63204513883,493861.01160792785,101451.60454927925,81161.2836394234,493731.1421398257,16.0
17,205102.6409382717,164082.11275061735,998166.185899589,205075.95543112743,164060.76434490195,998036.3164314869,14.0
18,88647.09027569722,70917.67222055778,431415.8393417265,88673.77578284148,70939.02062627318,431545.70880982856,57.0
19,75529.18910101986,60423.351280815885,367575.38695829664,75555.87460816414,60444.69968653131,367705.2564263988,255.0
20,27696.245133471988,22156.99610677759,134788.392982897,27722.93064061625,22178.344512493,134918.2624509991,23.0
21,41098.0411111786,32878.43288894288,200010.4667410692,41071.35560403436,32857.08448322749,199880.59727296722,53.0
22,63502.175005545796,50801.74000443664,309043.9183603229,63475.489498401526,50780.39159872122,308914.0488922208,17.0
23,506002.64601378114,404802.1168110249,2462546.2106004017,505975.9605066368,404780.76840530947,2462416.341132299,18.0
24,537065.4777092995,429652.3821674396,2613718.6581852576,537038.7922021552,429631.0337617242,2613588.788717156,19.0
25,115769.98532418313,92615.9882593465,563413.9285776912,115743.29981703887,92594.6398536311,563284.0591095892,80.0
26,38731.32754169481,30985.06203335585,188492.46070291474,38704.642034550554,30963.71362764044,188362.5912348127,20.0
27,119082.19283441445,95265.75426753156,579533.338460817,119055.50732727018,95244.40586181615,579403.4689927149,21.0
28,98788.64154750497,79030.91323800398,480771.38886452426,98761.95604036072,79009.56483228857,480641.51939642214,239.0
29,150778.323245814,120622.6585966512,733787.8397962948,150751.63773866973,120601.3101909358,733657.9703281927,26.0
30,11219.26703620963,8975.413628967704,54600.432909553536,11192.581529065348,8954.065223252279,54470.56344145136,27.0
31,69691.72428634891,55753.37942907913,339166.391526898,69665.03877920467,55732.03102336373,339036.522058796,233.0
32,190852.1841864451,152681.7473491561,928813.9630406996,190825.4986793009,152660.3989434407,928684.0935725976,29.0
33,15594.322157961291,12475.457726369033,75892.36783541161,15567.636650817047,12454.109320653639,75762.49836730963,35.0
34,137008.7759535956,109607.0207628765,666776.0429741654,136982.09044645136,109585.67235716108,666646.1735060633,115.0
35,39113.299674999005,31290.639739999206,190351.39175166184,39139.98518214329,31311.98814571463,190481.26121976398,32.0
36,907430.070343039,725944.0562744312,4416159.675669456,907403.3848358947,725922.7078687157,4416029.806201354,33.0
37,32942.69566711789,26354.156533694313,160321.11891330706,32916.010159973615,26332.80812797889,160191.2494452049,36.0
38,174069.45698862153,139255.56559089723,847138.0240112914,174042.77148147728,139234.21718518183,847008.1545431894,37.0
39,186410.95973327212,149128.7677866177,907200.0040352577,186384.2742261279,149107.4193809023,907070.1345671557,39.0
40,434773.9093304186,347819.1274643349,2115899.692074704,434747.2238232744,347797.7790586195,2115769.822606602,40.0
41,872929.5821603609,698343.6657282887,4248257.29984709,872902.8966532166,698322.3173225733,4248127.430378987,351.0
42,8408.32202097358,6726.6576167788635,40920.500502071416,8435.00752811784,6748.006022494272,41050.36997017349,96.0
43,21056.566874245425,16845.25349939634,102475.29212132774,21029.88136710115,16823.905093680918,102345.42265322559,128.0
44,234723.8472485999,187779.0777988799,1142322.7232765194,234697.1617414556,187757.72939316448,1142192.8538084172,44.0
45,391946.11292017985,313556.8903361439,1907471.0828782087,391919.42741303553,313535.5419304284,1907341.2134101063,45.0
46,173918.7538343187,139135.00306745496,846404.6019936843,173892.06832717443,139113.65466173954,846274.7325255822,46.0
47,424126.402500648,339301.1220005184,2064081.8255031535,424099.71699350374,339279.773594803,2063951.9560350515,47.0
48,12174.944349297479,9739.955479437984,59251.395833247734,12148.2588421532,9718.60707372256,59121.526365145575,48.0
49,71054.16473054071,56843.331784432565,345796.9350219648,71027.47922339643,56821.983378717145,345667.0655538626,107.0
50,15887.567916106142,12710.054332884913,77319.49719171655,15860.882408961872,12688.705927169498,77189.62772361444,98.0
51,141131.88796545193,112905.51037236155,686841.8547651994,141158.5734725962,112926.85877807697,686971.7242333016,49.0
52,8326.43186327459,6661.145490619672,40521.968401269674,8299.74635613033,6639.797084904264,40392.0989331676,50.0
53,46932.90060852981,37546.320486823846,228406.78296151175,46959.58611567409,37567.668892539274,228536.6524296139,167.0
54,54272.30295369487,43417.84236295589,264125.2077079817,54245.617446550605,43396.493957240484,263995.3382398796,116.0
55,139739.15009890724,111791.32007912578,680063.8638146819,139712.46459176295,111769.97167341037,679933.9943465798,250.0
56,29038.04235730613,23230.433885844905,141318.47280555652,29064.7278644504,23251.78229156032,141448.34227365864,54.0
57,5340.056185928535,4272.044948742829,25988.27343818554,5313.3706787842575,4250.696543027406,25858.403970083386,72.0
58,90814.78334988705,72651.82667990963,441965.2789694503,90788.09784274279,72630.47827419423,441835.4095013482,55.0
59,21083.644617345682,16866.915693876548,102607.07047108233,21110.330124489963,16888.26409959197,102736.93993918448,56.0
60,96380.90817753898,77104.72654203119,469053.7531306897,96354.22267039471,77083.37813631576,468923.88366258756,58.0
61,214123.35910859692,171298.68728687754,1042067.014328505,214150.04461574115,171320.03569259294,1042196.883796607,59.0
62,51731.93871941875,41385.550975535,251762.1017678379,51705.25321227449,41364.20256981959,251632.23229973583,60.0
63,258891.27016441096,207113.01613152877,1259937.5148001334,258864.58465726668,207091.66772581334,1259807.6453320312,61.0
64,111663.21083214831,89330.56866571865,543427.6260497884,111636.52532500407,89309.22026000325,543297.7565816864,178.0
65,37089.662654150816,29671.730123320653,180503.0249168673,37116.34816129508,29693.07852903606,180632.89438496938,63.0
66,76906.82504082282,61525.46003265826,374279.8818653377,76880.13953367856,61504.111626942846,374150.01239723567,209.0
67,106250.55245568573,85000.44196454858,517086.0219510039,106223.86694854146,84979.09355883316,516956.15248290176,238.0
68,10935.111588696795,8748.089270957436,53217.54306499107,10961.797095841073,8769.437676672858,53347.41253309322,65.0
69,81498.67469069957,65198.93975255965,396626.88349473785,81471.98918355531,65177.59134684425,396497.0140266359,64.0
70,272379.4082299156,217903.5265839325,1325579.7867189227,272352.7227227714,217882.17817821712,1325449.9172508207,66.0
71,34991.4954544536,27993.19636356288,170291.94454500754,34964.80994730935,27971.847957847483,170162.07507690552,67.0
72,423934.1452862651,339147.3162290121,2063146.1737264902,423907.4597791208,339125.9678232966,2063016.3042583878,68.0
73,418606.3518557471,334885.0814845977,2037217.5790313028,418579.6663486029,334863.73307888233,2037087.7095632008,70.0
74,270393.5367398223,216314.82939185784,1315915.212133802,270366.85123267805,216293.48098614244,1315785.3426657,74.0
75,52233.03311870466,41786.42649496373,254200.76117769603,52206.347611560384,41765.07808924831,254070.89170959388,75.0
