Country Code,Barley_Cellulose_2030,Barley_Hemicellulose_2030,Barley_Lignin_2030,Barley_Cellulose_2040,Barley_Hemicellulose_2040,Barley_Lignin_2040,Maize_Cellulose_2030,Maize_Hemicellulose_2030,Maize_Lignin_2030,Maize_Cellulose_2040,Maize_Hemicellulose_2040,Maize_Lignin_2040,Rice_Cellulose_2030,Rice_Hemicellulose_2030,Rice_Lignin_2030,Rice_Cellulose_2040,Rice_Hemicellulose_2040,Rice_Lignin_2040,Sorghum_Cellulose_2030,Sorghum_Hemicellulose_2030,Sorghum_Lignin_2030,Sorghum_Cellulose_2040,Sorghum_Hemicellulose_2040,Sorghum_Lignin_2040,Wheat_Cellulose_2030,Wheat_Hemicellulose_2030,Wheat_Lignin_2030,Wheat_Cellulose_2040,Wheat_Hemicellulose_2040,Wheat_Lignin_2040,Protein-2030,Protein-2040
12,15720405.26,8051914.89,13419858.15,15720405.26,8051914.89,13419858.15,1491888.995,1032846.227,1262367.611,1504534.413,1041600.747,1273067.58,632151.7595,421434.5063,719950.615,628585.7222,419057.1481,715889.2947,65581.83502,52465.46802,319164.9304,65555.14951,52444.11961,319035.061,240713.2549,171033.1022,228044.1363,240713.2549,171033.1022,228044.1363,5960855.621,8101811.488
13,1654719.681,847539.3489,1412565.582,1654719.681,847539.3489,1412565.582,1997474.911,1382867.246,1690171.078,2010120.329,1391621.766,1700871.047,581309.2406,387539.4937,662046.6351,577743.2032,385162.1355,657985.3148,113581.4944,90865.19549,552763.2726,113608.1799,90886.5439,552893.142,494407.7452,351289.7137,468386.2849,494407.7452,351289.7137,468386.2849,1725503.661,1953574.679
16,19798260.37,10140572.38,16900953.97,19798260.37,10140572.38,16900953.97,630584.1735,436558.2739,533571.2237,643229.5913,445312.794,544271.1926,2129137.349,1419424.899,2424850.87,2132703.386,1421802.257,2428912.19,101478.2901,81182.63205,493861.0116,101451.6045,81161.28364,493731.1421,587103.6498,417152.5933,556203.4577,587103.6498,417152.5933,556203.4577,7704521.74,10402787.18
14,30090021.86,15411962.42,25686604.03,30090021.86,15411962.42,25686604.03,1284683.779,889396.4627,1087040.121,1297329.197,898150.9827,1097740.09,320837.6618,213891.7746,365398.4482,317271.6245,211514.4163,361337.1279,205102.6409,164082.1128,998166.1859,205075.9554,164060.7643,998036.3164,231778.8748,164684.99,219579.9867,231778.8748,164684.99,219579.9867,10517319.46,14612543.19
57,9671970.748,4953936.237,8256560.395,9671970.748,4953936.237,8256560.395,154382.3018,106880.0551,130631.1784,141736.884,98125.53507,119931.2095,834769.1236,556512.7491,950709.2796,838335.1609,558890.1073,954770.5999,88647.09028,70917.67222,431415.8393,88673.77578,70939.02063,431545.7088,1157315.167,822302.8819,1096403.843,1157315.167,822302.8819,1096403.843,3982536.22,5294943.491
255,11285467.83,5780361.573,9633935.955,11285467.83,5780361.573,9633935.955,738442.2969,511229.2824,624835.7897,751087.7147,519983.8025,635535.7586,246881.8927,164587.9285,281171.0445,243315.8554,162210.5702,277109.7242,75529.1891,60423.35128,367575.387,75555.87461,60444.69969,367705.2564,2242634.65,1593450.936,2124601.248,2242634.65,1593450.936,2124601.248,4859433.456,6397286.223
23,18379796.96,9414042.346,15690070.58,18379796.96,9414042.346,15690070.58,283909.5924,196552.7947,240231.1936,296555.0102,205307.3148,250931.1625,873517.5731,582345.0487,994839.4582,877083.6104,584722.4069,998900.7785,27696.24513,22156.99611,134788.393,27722.93064,22178.34451,134918.2625,1368647.62,972460.1512,1296613.535,1368647.62,972460.1512,1296613.535,6864962.914,9370365.724
53,13556063.95,6943349.829,11572249.71,13556063.95,6943349.829,11572249.71,629467.6575,435785.3013,532626.4794,642113.0753,444539.8214,543326.4483,417087.4382,278058.2921,475016.249,413521.4008,275680.9339,470954.9287,41098.04111,32878.43289,200010.4667,41071.3556,32857.08448,199880.5973,1019757.574,724564.5919,966086.1225,1019757.574,724564.5919,966086.1225,5144077.619,6990683.067
17,10666904.06,5463536.224,9105893.706,10666904.06,5463536.224,9105893.706,990333.6198,685615.583,837974.6014,1002979.038,694370.103,848674.5703,729651.9139,486434.6093,830992.4575,726085.8765,484057.251,826931.1372,63502.17501,50801.74,309043.9184,63475.4895,50780.3916,308914.0489,555123.8554,394430.1078,525906.8104,555123.8554,394430.1078,525906.8104,4310675.771,5764355.474
18,17276594.13,8848987.239,14748312.07,17276594.13,8848987.239,14748312.07,3984030.423,2758174.908,3371102.665,3971385.005,2749420.388,3360402.696,1744499.433,1162999.622,1986791.021,1740933.396,1160622.264,1982729.701,506002.646,404802.1168,2462546.211,505975.9605,404780.7684,2462416.341,7453931.674,5296214.611,7061619.481,7453931.674,5296214.611,7061619.481,10753058.72,13096925.1
