Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,RPR,Sorghum_Residue,Flag,Flag Description
QCL,Crops and livestock products,121,Lebanon,5510,Production,83,Sorghum,2018,2018,tonnes,429,1.75,750.75,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,122,Lesotho,5510,Production,83,Sorghum,2018,2018,tonnes,40000,1.75,70000,*,Unofficial figure
QCL,Crops and livestock products,126,Lithuania,5510,Production,83,Sorghum,2018,2018,tonnes,0,1.75,0,,Official data
QCL,Crops and livestock products,256,Luxembourg,5510,Production,83,Sorghum,2018,2018,tonnes,0,1.75,0,,Official data
QCL,Crops and livestock products,129,Madagascar,5510,Production,83,Sorghum,2018,2018,tonnes,1335,1.75,2336.25,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,130,Malawi,5510,Production,83,Sorghum,2018,2018,tonnes,82852,1.75,144991,,Official data
QCL,Crops and livestock products,132,Maldives,5510,Production,83,Sorghum,2018,2018,tonnes,53,1.75,92.75,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,133,Mali,5510,Production,83,Sorghum,2018,2018,tonnes,1469688,1.75,2571954,,Official data
QCL,Crops and livestock products,134,Malta,5510,Production,83,Sorghum,2018,2018,tonnes,0,1.75,0,,Official data
QCL,Crops and livestock products,136,Mauritania,5510,Production,83,Sorghum,2018,2018,tonnes,87000,1.75,152250,*,Unofficial figure
QCL,Crops and livestock products,138,Mexico,5510,Production,83,Sorghum,2018,2018,tonnes,4531097,1.75,7929419.75,,Official data
QCL,Crops and livestock products,145,Micronesia (Federated States of),5510,Production,83,Sorghum,2018,2018,tonnes,18,1.75,31.5,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,143,Morocco,5510,Production,83,Sorghum,2018,2018,tonnes,3317,1.75,5804.75,,Official data
QCL,Crops and livestock products,144,Mozambique,5510,Production,83,Sorghum,2018,2018,tonnes,295000,1.75,516250,*,Unofficial figure
QCL,Crops and livestock products,28,Myanmar,5510,Production,83,Sorghum,2018,2018,tonnes,167375,1.75,292906.25,,Official data
QCL,Crops and livestock products,147,Namibia,5510,Production,83,Sorghum,2018,2018,tonnes,4036,1.75,7063,,Official data
QCL,Crops and livestock products,150,Netherlands,5510,Production,83,Sorghum,2018,2018,tonnes,0,1.75,0,,Official data
QCL,Crops and livestock products,153,New Caledonia,5510,Production,83,Sorghum,2018,2018,tonnes,120,1.75,210,,Official data
QCL,Crops and livestock products,157,Nicaragua,5510,Production,83,Sorghum,2018,2018,tonnes,60156,1.75,105273,,Official data
QCL,Crops and livestock products,158,Niger,5510,Production,83,Sorghum,2018,2018,tonnes,2100190,1.75,3675332.5,,Official data
QCL,Crops and livestock products,159,Nigeria,5510,Production,83,Sorghum,2018,2018,tonnes,6800000,1.75,11900000,*,Unofficial figure
QCL,Crops and livestock products,154,North Macedonia,5510,Production,83,Sorghum,2018,2018,tonnes,31,1.75,54.25,Im,FAO data based on imputation methodology
QCL,Crops and livestock products,221,Oman,5510,Production,83,Sorghum,2018,2018,tonnes,49330,1.75,86327.5,,Official data
QCL,Crops and livestock products,165,Pakistan,5510,Production,83,Sorghum,2018,2018,tonnes,148729,1.75,260275.75,,Official data
